	ENSG	name	description
ENSG00000066735.14	ENSG00000066735	KIF26A	kinesin family member 26A [Source:HGNC Symbol;Acc:HGNC:20226]
ENSG00000066739.11	ENSG00000066739	ATG2B	autophagy related 2B [Source:HGNC Symbol;Acc:HGNC:20187]
ENSG00000066777.8	ENSG00000066777	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]
ENSG00000066827.15	ENSG00000066827	ZFAT	zinc finger and AT-hook domain containing [Source:HGNC Symbol;Acc:HGNC:19899]
ENSG00000066855.15	ENSG00000066855	MTFR1	mitochondrial fission regulator 1 [Source:HGNC Symbol;Acc:HGNC:29510]
ENSG00000066923.17	ENSG00000066923	STAG3	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]
ENSG00000066926.10	ENSG00000066926	FECH	ferrochelatase [Source:HGNC Symbol;Acc:HGNC:3647]
ENSG00000066933.15	ENSG00000066933	MYO9A	myosin IXA [Source:HGNC Symbol;Acc:HGNC:7608]
ENSG00000067057.16	ENSG00000067057	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]
ENSG00000067064.10	ENSG00000067064	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]
ENSG00000067066.16	ENSG00000067066	SP100	SP100 nuclear antigen [Source:HGNC Symbol;Acc:HGNC:11206]
ENSG00000067082.14	ENSG00000067082	KLF6	Kruppel like factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]
ENSG00000067113.16	ENSG00000067113	PLPP1	phospholipid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:9228]
ENSG00000067141.16	ENSG00000067141	NEO1	neogenin 1 [Source:HGNC Symbol;Acc:HGNC:7754]
ENSG00000067167.7	ENSG00000067167	TRAM1	translocation associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:20568]
ENSG00000067177.14	ENSG00000067177	PHKA1	phosphorylase kinase regulatory subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8925]
ENSG00000067182.7	ENSG00000067182	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]
ENSG00000067191.15	ENSG00000067191	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]
ENSG00000067208.14	ENSG00000067208	EVI5	ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]
ENSG00000067221.13	ENSG00000067221	STOML1	stomatin like 1 [Source:HGNC Symbol;Acc:HGNC:14560]
ENSG00000067225.17	ENSG00000067225	PKM	pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021]
ENSG00000067248.9	ENSG00000067248	DHX29	DExH-box helicase 29 [Source:HGNC Symbol;Acc:HGNC:15815]
ENSG00000067334.13	ENSG00000067334	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]
ENSG00000067365.14	ENSG00000067365	METTL22	methyltransferase like 22 [Source:HGNC Symbol;Acc:HGNC:28368]
ENSG00000067369.13	ENSG00000067369	TP53BP1	tumor protein p53 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11999]
ENSG00000067445.20	ENSG00000067445	TRO	trophinin [Source:HGNC Symbol;Acc:HGNC:12326]
ENSG00000067533.5	ENSG00000067533	RRP15	ribosomal RNA processing 15 homolog [Source:HGNC Symbol;Acc:HGNC:24255]
ENSG00000067560.10	ENSG00000067560	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]
ENSG00000067596.10	ENSG00000067596	DHX8	DEAH-box helicase 8 [Source:HGNC Symbol;Acc:HGNC:2749]
ENSG00000067601.7	ENSG00000067601	PMS2P4	PMS1 homolog 2, mismatch repair system component pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:9129]
ENSG00000067606.16	ENSG00000067606	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]
ENSG00000067704.9	ENSG00000067704	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29685]
ENSG00000067715.13	ENSG00000067715	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]
ENSG00000067798.14	ENSG00000067798	NAV3	neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]
ENSG00000067829.18	ENSG00000067829	IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:5386]
ENSG00000067836.12	ENSG00000067836	ROGDI	rogdi atypical leucine zipper [Source:HGNC Symbol;Acc:HGNC:29478]
ENSG00000067840.12	ENSG00000067840	PDZD4	PDZ domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21167]
ENSG00000067900.7	ENSG00000067900	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]
ENSG00000067955.13	ENSG00000067955	CBFB	core-binding factor subunit beta [Source:HGNC Symbol;Acc:HGNC:1539]
ENSG00000067992.12	ENSG00000067992	PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]
ENSG00000068001.13	ENSG00000068001	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]
ENSG00000068024.16	ENSG00000068024	HDAC4	histone deacetylase 4 [Source:HGNC Symbol;Acc:HGNC:14063]
ENSG00000068028.17	ENSG00000068028	RASSF1	Ras association domain family member 1 [Source:HGNC Symbol;Acc:HGNC:9882]
ENSG00000068078.17	ENSG00000068078	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]
ENSG00000068079.7	ENSG00000068079	IFI35	interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]
ENSG00000068097.14	ENSG00000068097	HEATR6	HEAT repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:24076]
ENSG00000068120.14	ENSG00000068120	COASY	Coenzyme A synthase [Source:HGNC Symbol;Acc:HGNC:29932]
ENSG00000068137.14	ENSG00000068137	PLEKHH3	pleckstrin homology, MyTH4 and FERM domain containing H3 [Source:HGNC Symbol;Acc:HGNC:26105]
ENSG00000068305.17	ENSG00000068305	MEF2A	myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]
ENSG00000068308.13	ENSG00000068308	OTUD5	OTU deubiquitinase 5 [Source:HGNC Symbol;Acc:HGNC:25402]
ENSG00000068323.16	ENSG00000068323	TFE3	transcription factor binding to IGHM enhancer 3 [Source:HGNC Symbol;Acc:HGNC:11752]
ENSG00000068354.15	ENSG00000068354	TBC1D25	TBC1 domain family member 25 [Source:HGNC Symbol;Acc:HGNC:8092]
ENSG00000068366.19	ENSG00000068366	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]
ENSG00000068383.18	ENSG00000068383	INPP5A	inositol polyphosphate-5-phosphatase A [Source:HGNC Symbol;Acc:HGNC:6076]
ENSG00000068394.10	ENSG00000068394	GPKOW	G-patch domain and KOW motifs [Source:HGNC Symbol;Acc:HGNC:30677]
ENSG00000068400.13	ENSG00000068400	GRIPAP1	GRIP1 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:18706]
ENSG00000068438.14	ENSG00000068438	FTSJ1	FtsJ RNA 2'-O-methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:13254]
ENSG00000068489.12	ENSG00000068489	PRR11	proline rich 11 [Source:HGNC Symbol;Acc:HGNC:25619]
ENSG00000068615.17	ENSG00000068615	REEP1	receptor accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:25786]
ENSG00000068650.18	ENSG00000068650	ATP11A	ATPase phospholipid transporting 11A [Source:HGNC Symbol;Acc:HGNC:13552]
ENSG00000068654.15	ENSG00000068654	POLR1A	RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]
ENSG00000068697.6	ENSG00000068697	LAPTM4A	lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]
ENSG00000068724.15	ENSG00000068724	TTC7A	tetratricopeptide repeat domain 7A [Source:HGNC Symbol;Acc:HGNC:19750]
ENSG00000068745.14	ENSG00000068745	IP6K2	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]
ENSG00000068781.21	ENSG00000068781	STON1-GTF2A1L	STON1-GTF2A1L readthrough [Source:HGNC Symbol;Acc:HGNC:30651]
ENSG00000068784.12	ENSG00000068784	SRBD1	S1 RNA binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25521]
ENSG00000068796.16	ENSG00000068796	KIF2A	kinesin family member 2A [Source:HGNC Symbol;Acc:HGNC:6318]
ENSG00000068831.18	ENSG00000068831	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]
ENSG00000068878.14	ENSG00000068878	PSME4	proteasome activator subunit 4 [Source:HGNC Symbol;Acc:HGNC:20635]
ENSG00000068885.14	ENSG00000068885	IFT80	intraflagellar transport 80 [Source:HGNC Symbol;Acc:HGNC:29262]
ENSG00000068903.19	ENSG00000068903	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]
ENSG00000068912.13	ENSG00000068912	ERLEC1	endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]
ENSG00000068971.13	ENSG00000068971	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]
ENSG00000068976.13	ENSG00000068976	PYGM	glycogen phosphorylase, muscle associated [Source:HGNC Symbol;Acc:HGNC:9726]
ENSG00000069011.15	ENSG00000069011	PITX1	paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]
ENSG00000069020.18	ENSG00000069020	MAST4	microtubule associated serine/threonine kinase family member 4 [Source:HGNC Symbol;Acc:HGNC:19037]
ENSG00000069122.18	ENSG00000069122	ADGRF5	adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]
ENSG00000069188.16	ENSG00000069188	SDK2	sidekick cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:19308]
ENSG00000069248.11	ENSG00000069248	NUP133	nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]
ENSG00000069275.12	ENSG00000069275	NUCKS1	nuclear casein kinase and cyclin dependent kinase substrate 1 [Source:HGNC Symbol;Acc:HGNC:29923]
ENSG00000069329.15	ENSG00000069329	VPS35	VPS35 retromer complex component [Source:HGNC Symbol;Acc:HGNC:13487]
ENSG00000069345.11	ENSG00000069345	DNAJA2	DnaJ heat shock protein family (Hsp40) member A2 [Source:HGNC Symbol;Acc:HGNC:14884]
ENSG00000069399.13	ENSG00000069399	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]
ENSG00000069424.14	ENSG00000069424	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]
ENSG00000069431.11	ENSG00000069431	ABCC9	ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]
ENSG00000069493.14	ENSG00000069493	CLEC2D	C-type lectin domain family 2 member D [Source:HGNC Symbol;Acc:HGNC:14351]
ENSG00000069509.5	ENSG00000069509	FUNDC1	FUN14 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28746]
ENSG00000069535.13	ENSG00000069535	MAOB	monoamine oxidase B [Source:HGNC Symbol;Acc:HGNC:6834]
ENSG00000069667.15	ENSG00000069667	RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]
ENSG00000069702.10	ENSG00000069702	TGFBR3	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
ENSG00000069712.11	ENSG00000069712	ENSG00000069712	NA
ENSG00000069849.10	ENSG00000069849	ATP1B3	ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]
ENSG00000069869.15	ENSG00000069869	NEDD4	NEDD4 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7727]
ENSG00000069943.9	ENSG00000069943	PIGB	phosphatidylinositol glycan anchor biosynthesis class B [Source:HGNC Symbol;Acc:HGNC:8959]
ENSG00000069956.11	ENSG00000069956	MAPK6	mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879]
ENSG00000069966.18	ENSG00000069966	GNB5	G protein subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]
ENSG00000069974.15	ENSG00000069974	RAB27A	RAB27A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9766]
ENSG00000069998.12	ENSG00000069998	HDHD5	haloacid dehalogenase like hydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:1843]
ENSG00000070010.18	ENSG00000070010	UFD1	ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520]
ENSG00000070018.8	ENSG00000070018	LRP6	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]
ENSG00000070047.11	ENSG00000070047	PHRF1	PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]
ENSG00000070061.14	ENSG00000070061	ELP1	elongator complex protein 1 [Source:HGNC Symbol;Acc:HGNC:5959]
ENSG00000070081.15	ENSG00000070081	NUCB2	nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]
ENSG00000070087.13	ENSG00000070087	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]
ENSG00000070159.13	ENSG00000070159	PTPN3	protein tyrosine phosphatase non-receptor type 3 [Source:HGNC Symbol;Acc:HGNC:9655]
ENSG00000070182.18	ENSG00000070182	SPTB	spectrin beta, erythrocytic [Source:HGNC Symbol;Acc:HGNC:11274]
ENSG00000070190.12	ENSG00000070190	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]
ENSG00000070214.15	ENSG00000070214	SLC44A1	solute carrier family 44 member 1 [Source:HGNC Symbol;Acc:HGNC:18798]
ENSG00000070269.13	ENSG00000070269	TMEM260	transmembrane protein 260 [Source:HGNC Symbol;Acc:HGNC:20185]
ENSG00000070366.13	ENSG00000070366	SMG6	SMG6 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:17809]
ENSG00000070367.15	ENSG00000070367	EXOC5	exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696]
ENSG00000070371.15	ENSG00000070371	CLTCL1	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]
ENSG00000070404.9	ENSG00000070404	FSTL3	follistatin like 3 [Source:HGNC Symbol;Acc:HGNC:3973]
ENSG00000070413.19	ENSG00000070413	DGCR2	DiGeorge syndrome critical region gene 2 [Source:HGNC Symbol;Acc:HGNC:2845]
ENSG00000070423.17	ENSG00000070423	RNF126	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]
ENSG00000070444.14	ENSG00000070444	MNT	MAX network transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:7188]
ENSG00000070476.14	ENSG00000070476	ZXDC	ZXD family zinc finger C [Source:HGNC Symbol;Acc:HGNC:28160]
ENSG00000070495.14	ENSG00000070495	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]
ENSG00000070501.11	ENSG00000070501	POLB	DNA polymerase beta [Source:HGNC Symbol;Acc:HGNC:9174]
ENSG00000070540.12	ENSG00000070540	WIPI1	WD repeat domain, phosphoinositide interacting 1 [Source:HGNC Symbol;Acc:HGNC:25471]
ENSG00000070610.14	ENSG00000070610	GBA2	glucosylceramidase beta 2 [Source:HGNC Symbol;Acc:HGNC:18986]
ENSG00000070614.14	ENSG00000070614	NDST1	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]
ENSG00000070669.16	ENSG00000070669	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]
ENSG00000070718.11	ENSG00000070718	AP3M2	adaptor related protein complex 3 subunit mu 2 [Source:HGNC Symbol;Acc:HGNC:570]
ENSG00000070731.10	ENSG00000070731	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10867]
ENSG00000070756.14	ENSG00000070756	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]
ENSG00000070759.16	ENSG00000070759	TESK2	testis associated actin remodelling kinase 2 [Source:HGNC Symbol;Acc:HGNC:11732]
ENSG00000070761.7	ENSG00000070761	CFAP20	cilia and flagella associated protein 20 [Source:HGNC Symbol;Acc:HGNC:29523]
ENSG00000070770.8	ENSG00000070770	CSNK2A2	casein kinase 2 alpha 2 [Source:HGNC Symbol;Acc:HGNC:2459]
ENSG00000070778.12	ENSG00000070778	PTPN21	protein tyrosine phosphatase non-receptor type 21 [Source:HGNC Symbol;Acc:HGNC:9651]
ENSG00000070785.16	ENSG00000070785	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma [Source:HGNC Symbol;Acc:HGNC:3259]
ENSG00000070814.17	ENSG00000070814	TCOF1	treacle ribosome biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:11654]
ENSG00000070831.15	ENSG00000070831	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]
ENSG00000070882.12	ENSG00000070882	OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]
ENSG00000070950.9	ENSG00000070950	RAD18	RAD18 E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:18278]
ENSG00000070961.15	ENSG00000070961	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]
ENSG00000071051.13	ENSG00000071051	NCK2	NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]
ENSG00000071054.16	ENSG00000071054	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]
ENSG00000071073.12	ENSG00000071073	MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]
ENSG00000071082.10	ENSG00000071082	RPL31	ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]
ENSG00000071127.16	ENSG00000071127	WDR1	WD repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:12754]
ENSG00000071189.21	ENSG00000071189	SNX13	sorting nexin 13 [Source:HGNC Symbol;Acc:HGNC:21335]
ENSG00000071205.11	ENSG00000071205	ARHGAP10	Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:HGNC:26099]
ENSG00000071242.11	ENSG00000071242	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]
ENSG00000071243.15	ENSG00000071243	ING3	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]
ENSG00000071246.10	ENSG00000071246	VASH1	vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]
ENSG00000071282.11	ENSG00000071282	LMCD1	LIM and cysteine rich domains 1 [Source:HGNC Symbol;Acc:HGNC:6633]
ENSG00000071462.11	ENSG00000071462	BUD23	BUD23 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405]
ENSG00000071537.13	ENSG00000071537	SEL1L	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:10717]
ENSG00000071539.13	ENSG00000071539	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]
ENSG00000071553.16	ENSG00000071553	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]
ENSG00000071564.14	ENSG00000071564	TCF3	transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11633]
ENSG00000071575.11	ENSG00000071575	TRIB2	tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]
ENSG00000071626.16	ENSG00000071626	DAZAP1	DAZ associated protein 1 [Source:HGNC Symbol;Acc:HGNC:2683]
ENSG00000071655.17	ENSG00000071655	MBD3	methyl-CpG binding domain protein 3 [Source:HGNC Symbol;Acc:HGNC:6918]
ENSG00000071794.15	ENSG00000071794	HLTF	helicase like transcription factor [Source:HGNC Symbol;Acc:HGNC:11099]
